
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 31-Jan-2025 at 19:54:57.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.6450   1.1010209E+06   1.1060329E+06   1.1017044E+06   9.0183919E+05   9.0469225E+05   9.0534481E+05
    0.6500   1.1009494E+06   1.1060850E+06   1.1015895E+06   9.0174638E+05   9.0466900E+05   9.0531406E+05
    0.6550   1.1008762E+06   1.1061388E+06   1.1014740E+06   9.0165394E+05   9.0464750E+05   9.0528225E+05
    0.6600   1.1008014E+06   1.1061940E+06   1.1013580E+06   9.0156200E+05   9.0462775E+05   9.0524912E+05
    0.6650   1.1007250E+06   1.1062505E+06   1.1012416E+06   9.0147062E+05   9.0460975E+05   9.0521462E+05
    0.6700   1.1006469E+06   1.1063085E+06   1.1011251E+06   9.0138000E+05   9.0459362E+05   9.0517869E+05
    0.6750   1.1005669E+06   1.1063678E+06   1.1010086E+06   9.0129031E+05   9.0457919E+05   9.0514106E+05
    0.6800   1.1004850E+06   1.1064281E+06   1.1008922E+06   9.0120156E+05   9.0456662E+05   9.0510169E+05
    0.6850   1.1004014E+06   1.1064896E+06   1.1007762E+06   9.0111400E+05   9.0455581E+05   9.0506044E+05
    0.6900   1.1003156E+06   1.1065522E+06   1.1006608E+06   9.0102775E+05   9.0454681E+05   9.0501712E+05
    0.6950   1.1002280E+06   1.1066160E+06   1.1005460E+06   9.0094294E+05   9.0453956E+05   9.0497162E+05
    0.7000   1.1001381E+06   1.1066808E+06   1.1004321E+06   9.0085969E+05   9.0453412E+05   9.0492388E+05
    0.7050   1.1000462E+06   1.1067464E+06   1.1003191E+06   9.0077825E+05   9.0453050E+05   9.0487369E+05
    0.7100   1.0999521E+06   1.1068130E+06   1.1002072E+06   9.0069862E+05   9.0452862E+05   9.0482094E+05
    0.7150   1.0998559E+06   1.1068806E+06   1.1000965E+06   9.0062094E+05   9.0452850E+05   9.0476556E+05
    0.7200   1.0997575E+06   1.1069492E+06   1.0999870E+06   9.0054531E+05   9.0453012E+05   9.0470744E+05
    0.7250   1.0996569E+06   1.1070188E+06   1.0998789E+06   9.0047194E+05   9.0453356E+05   9.0464650E+05
    0.7300   1.0995540E+06   1.1070894E+06   1.0997720E+06   9.0040069E+05   9.0453875E+05   9.0458262E+05
    0.7350   1.0994490E+06   1.1071609E+06   1.0996664E+06   9.0033181E+05   9.0454575E+05   9.0451575E+05
    0.7400   1.0993420E+06   1.1072335E+06   1.0995621E+06   9.0026519E+05   9.0455444E+05   9.0444581E+05
    0.7450   1.0992329E+06   1.1073072E+06   1.0994590E+06   9.0020100E+05   9.0456500E+05   9.0437281E+05
    0.7500   1.0991219E+06   1.1073821E+06   1.0993571E+06   9.0013906E+05   9.0457738E+05   9.0429669E+05
    0.7550   1.0990090E+06   1.1074582E+06   1.0992562E+06   9.0007956E+05   9.0459150E+05   9.0421738E+05
    0.7600   1.0988944E+06   1.1075358E+06   1.0991562E+06   9.0002231E+05   9.0460756E+05   9.0413494E+05
    0.7650   1.0987781E+06   1.1076145E+06   1.0990571E+06   8.9996731E+05   9.0462544E+05   9.0404938E+05
    0.7700   1.0986602E+06   1.1076948E+06   1.0989588E+06   8.9991450E+05   9.0464525E+05   9.0396069E+05
    0.7750   1.0985410E+06   1.1077765E+06   1.0988608E+06   8.9986375E+05   9.0466706E+05   9.0386888E+05
    0.7800   1.0984205E+06   1.1078599E+06   1.0987632E+06   8.9981506E+05   9.0469081E+05   9.0377406E+05
    0.7850   1.0982986E+06   1.1079450E+06   1.0986659E+06   8.9976819E+05   9.0471656E+05   9.0367612E+05
    0.7900   1.0981758E+06   1.1080319E+06   1.0985686E+06   8.9972312E+05   9.0474444E+05   9.0357525E+05
    0.7950   1.0980520E+06   1.1081206E+06   1.0984712E+06   8.9967962E+05   9.0477444E+05   9.0347150E+05
    0.8000   1.0979272E+06   1.1082112E+06   1.0983738E+06   8.9963762E+05   9.0480669E+05   9.0336488E+05
    0.8050   1.0978016E+06   1.1083039E+06   1.0982760E+06   8.9959688E+05   9.0484112E+05   9.0325544E+05
    0.8100   1.0976752E+06   1.1083986E+06   1.0981778E+06   8.9955731E+05   9.0487781E+05   9.0314331E+05
    0.8150   1.0975482E+06   1.1084956E+06   1.0980790E+06   8.9951869E+05   9.0491694E+05   9.0302856E+05
    0.8200   1.0974205E+06   1.1085948E+06   1.0979796E+06   8.9948088E+05   9.0495844E+05   9.0291125E+05
    0.8250   1.0972921E+06   1.1086961E+06   1.0978796E+06   8.9944369E+05   9.0500244E+05   9.0279150E+05
    0.8300   1.0971632E+06   1.1087999E+06   1.0977791E+06   8.9940700E+05   9.0504900E+05   9.0266931E+05
    0.8350   1.0970336E+06   1.1089059E+06   1.0976779E+06   8.9937050E+05   9.0509819E+05   9.0254481E+05
    0.8400   1.0969034E+06   1.1090142E+06   1.0975760E+06   8.9933419E+05   9.0514994E+05   9.0241806E+05
    0.8450   1.0967724E+06   1.1091251E+06   1.0974735E+06   8.9929775E+05   9.0520450E+05   9.0228919E+05
    0.8500   1.0966408E+06   1.1092382E+06   1.0973705E+06   8.9926112E+05   9.0526175E+05   9.0215825E+05
    0.8550   1.0965082E+06   1.1093539E+06   1.0972670E+06   8.9922412E+05   9.0532188E+05   9.0202531E+05
    0.8600   1.0963750E+06   1.1094719E+06   1.0971631E+06   8.9918656E+05   9.0538481E+05   9.0189044E+05
    0.8650   1.0962410E+06   1.1095922E+06   1.0970588E+06   8.9914838E+05   9.0545062E+05   9.0175375E+05
    0.8700   1.0961060E+06   1.1097149E+06   1.0969542E+06   8.9910931E+05   9.0551944E+05   9.0161525E+05
    0.8750   1.0959701E+06   1.1098399E+06   1.0968495E+06   8.9906931E+05   9.0559119E+05   9.0147506E+05
    0.8800   1.0958334E+06   1.1099672E+06   1.0967446E+06   8.9902831E+05   9.0566594E+05   9.0133325E+05
    0.8850   1.0956956E+06   1.1100968E+06   1.0966398E+06   8.9898606E+05   9.0574369E+05   9.0118994E+05
    0.8900   1.0955569E+06   1.1102284E+06   1.0965349E+06   8.9894256E+05   9.0582444E+05   9.0104512E+05
    0.8950   1.0954171E+06   1.1103621E+06   1.0964300E+06   8.9889762E+05   9.0590831E+05   9.0089894E+05
    0.9000   1.0952766E+06   1.1104980E+06   1.0963254E+06   8.9885125E+05   9.0599512E+05   9.0075138E+05
    0.9050   1.0951352E+06   1.1106358E+06   1.0962208E+06   8.9880325E+05   9.0608506E+05   9.0060262E+05
    0.9100   1.0949931E+06   1.1107755E+06   1.0961162E+06   8.9875369E+05   9.0617800E+05   9.0045262E+05
    0.9150   1.0948502E+06   1.1109170E+06   1.0960118E+06   8.9870231E+05   9.0627394E+05   9.0030162E+05
    0.9200   1.0947070E+06   1.1110604E+06   1.0959072E+06   8.9864919E+05   9.0637294E+05   9.0014956E+05
    0.9250   1.0945634E+06   1.1112055E+06   1.0958028E+06   8.9859425E+05   9.0647488E+05   8.9999656E+05
    0.9300   1.0944195E+06   1.1113522E+06   1.0956980E+06   8.9853738E+05   9.0657981E+05   8.9984269E+05
    0.9350   1.0942758E+06   1.1115005E+06   1.0955929E+06   8.9847850E+05   9.0668769E+05   8.9968812E+05
    0.9400   1.0941322E+06   1.1116504E+06   1.0954872E+06   8.9841769E+05   9.0679844E+05   8.9953281E+05
    0.9450   1.0939891E+06   1.1118018E+06   1.0953809E+06   8.9835475E+05   9.0691206E+05   8.9937688E+05
    0.9500   1.0938469E+06   1.1119545E+06   1.0952736E+06   8.9828975E+05   9.0702856E+05   8.9922044E+05
    0.9550   1.0937056E+06   1.1121088E+06   1.0951652E+06   8.9822269E+05   9.0714781E+05   8.9906362E+05
    0.9600   1.0935656E+06   1.1122642E+06   1.0950555E+06   8.9815344E+05   9.0726988E+05   8.9890638E+05
    0.9650   1.0934271E+06   1.1124211E+06   1.0949441E+06   8.9808200E+05   9.0739462E+05   8.9874888E+05
    0.9700   1.0932905E+06   1.1125794E+06   1.0948309E+06   8.9800831E+05   9.0752206E+05   8.9859119E+05
    0.9750   1.0931560E+06   1.1127390E+06   1.0947155E+06   8.9793244E+05   9.0765219E+05   8.9843338E+05
    0.9800   1.0930238E+06   1.1128999E+06   1.0945978E+06   8.9785438E+05   9.0778488E+05   8.9827556E+05
    0.9850   1.0928941E+06   1.1130621E+06   1.0944774E+06   8.9777400E+05   9.0792019E+05   8.9811769E+05
    0.9900   1.0927672E+06   1.1132256E+06   1.0943540E+06   8.9769144E+05   9.0805806E+05   8.9795994E+05
    0.9950   1.0926435E+06   1.1133906E+06   1.0942276E+06   8.9760656E+05   9.0819844E+05   8.9780238E+05
    1.0000   1.0925229E+06   1.1135569E+06   1.0940978E+06   8.9751944E+05   9.0834138E+05   8.9764494E+05
    1.0050   1.0924056E+06   1.1137248E+06   1.0939645E+06   8.9743006E+05   9.0848675E+05   8.9748775E+05
    1.0100   1.0922919E+06   1.1138940E+06   1.0938274E+06   8.9733838E+05   9.0863456E+05   8.9733088E+05
    1.0150   1.0921816E+06   1.1140648E+06   1.0936865E+06   8.9724450E+05   9.0878488E+05   8.9717431E+05
    1.0200   1.0920750E+06   1.1142371E+06   1.0935416E+06   8.9714838E+05   9.0893762E+05   8.9701812E+05
    1.0250   1.0919719E+06   1.1144111E+06   1.0933928E+06   8.9705006E+05   9.0909281E+05   8.9686231E+05
    1.0300   1.0918725E+06   1.1145868E+06   1.0932398E+06   8.9694950E+05   9.0925044E+05   8.9670681E+05
    1.0350   1.0917768E+06   1.1147642E+06   1.0930825E+06   8.9684675E+05   9.0941044E+05   8.9655181E+05
    1.0400   1.0916844E+06   1.1149436E+06   1.0929211E+06   8.9674188E+05   9.0957294E+05   8.9639719E+05
    1.0450   1.0915954E+06   1.1151248E+06   1.0927556E+06   8.9663488E+05   9.0973788E+05   8.9624294E+05
    1.0500   1.0915098E+06   1.1153079E+06   1.0925861E+06   8.9652575E+05   9.0990531E+05   8.9608912E+05
    1.0550   1.0914271E+06   1.1154931E+06   1.0924125E+06   8.9641450E+05   9.1007519E+05   8.9593562E+05
    1.0600   1.0913474E+06   1.1156804E+06   1.0922351E+06   8.9630125E+05   9.1024762E+05   8.9578256E+05
    1.0650   1.0912704E+06   1.1158698E+06   1.0920540E+06   8.9618600E+05   9.1042250E+05   8.9562988E+05
    1.0700   1.0911959E+06   1.1160614E+06   1.0918692E+06   8.9606875E+05   9.1059994E+05   8.9547750E+05
    1.0750   1.0911236E+06   1.1162551E+06   1.0916811E+06   8.9594956E+05   9.1077994E+05   8.9532544E+05
    1.0800   1.0910534E+06   1.1164512E+06   1.0914898E+06   8.9582844E+05   9.1096250E+05   8.9517369E+05
    1.0850   1.0909849E+06   1.1166496E+06   1.0912952E+06   8.9570544E+05   9.1114769E+05   8.9502219E+05
    1.0900   1.0909179E+06   1.1168504E+06   1.0910979E+06   8.9558056E+05   9.1133550E+05   8.9487088E+05
    1.0950   1.0908522E+06   1.1170534E+06   1.0908979E+06   8.9545388E+05   9.1152594E+05   8.9471988E+05
    1.1000   1.0907878E+06   1.1172589E+06   1.0906954E+06   8.9532538E+05   9.1171900E+05   8.9456900E+05
    1.1050   1.0907241E+06   1.1174668E+06   1.0904906E+06   8.9519519E+05   9.1191481E+05   8.9441831E+05
    1.1100   1.0906610E+06   1.1176769E+06   1.0902839E+06   8.9506325E+05   9.1211325E+05   8.9426775E+05
